monster type,Ancient,Animal,Disguised,Extraterrestrial,Ghost,Magician,Mechanical,Mythical,Plant,Possessed Object,Super-Villain,Undead
caught by fred,7,13,3,4,26,4,4,11,3,12,2,7
captured fred,2,7,2,0,10,0,1,5,0,6,0,5
caught by daphne,1,2,0,0,5,1,1,4,0,4,1,3
captured daphne,4,8,2,1,14,0,1,5,0,6,0,5
caught by velma,0,3,2,1,4,0,4,1,1,5,1,7
captured velma,3,6,1,0,13,0,1,7,0,6,0,3
caught by shaggy,2,7,4,0,21,0,2,4,0,3,1,3
captured shaggy,3,8,1,0,14,0,1,5,1,5,0,2
caught by scooby,4,21,4,2,36,0,2,10,1,8,2,10
captured scooby,5,9,1,0,10,0,2,3,1,3,0,4
fred caught - captured,5,6,1,4,16,4,3,6,3,6,2,2
daphne caught - captured,-3,-6,-2,-1,-9,1,0,-1,0,-2,1,-2
velma caught - captured,-3,-3,1,1,-9,0,3,-6,1,-1,1,4
shaggy caught - captured,-1,-1,3,0,7,0,1,-1,-1,-2,1,1
scooby caught - captured,-1,12,3,2,26,0,0,7,0,5,2,6
